apk_entry,sha256,maven_coordinate,aar_entry,aar_sha256
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_observability_observabilityAndroid.so","703737d8277d247a87641e0fc3ba9ac59ecb6dc660ed50aaae82631ec4269d9a","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_observability_observabilityAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_observability_sessions_sessionsAndroid.so","4155de1937c824f47e93697253a2db6f999a79182ad10b184fc265b80087afa0","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_observability_sessions_sessionsAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_transport_device_connection_device_connectionAndroid.so","270031138ed70ae5f627a6a62b370cd96f5f2e38c2c348825b70d7d7fb058d17","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_transport_device_connection_device_connectionAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_transport_dnia_dniaAndroid.so","917065aee1ef9c09701f3055c292779da33b5181faa9dc1afd7e0abddebf5ce0","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_transport_dnia_dniaAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_transport_queue_queueAndroid.so","310690a571b92b86fd4f43d029391c4908b73ff0503b2a078afefa3562e67ca5","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_transport_queue_queueAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_impl_video_passthrough_video_passthroughAndroid.so","94ba098679b3c7055c24b79e47cce620ec1ae649fc2979569f7bf283dc3457b8","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_impl_video_passthrough_video_passthroughAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_core_os_android_telemetry_atc_null_atc_telemetryAndroid.so","26c116c3adc28aace1d7e7a78a07017343544c130d9bfbcc5e9e39504117690b","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_core_os_android_telemetry_atc_null_atc_telemetryAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_exp_rtc_logging_loggingAndroid.so","80ac3f8ff7829fe1ed03d671127ecebe3528d1c2d4f7a43d2a1fc011595290ed","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_exp_rtc_logging_loggingAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_analytics_media_mediaAndroid.so","dc2ed7a6a885343b83d2adbb234c0e494ac16e59aaff34f23a035a1cc3945263","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_analytics_media_mediaAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_clock_clockAndroid.so","13d726cdd0f5f6ee6ab489b7b6fe991a8064fdf8e1a44fb38e55360f99a79a30","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_clock_clockAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
